Tip,chinese_name,episode,movie_name,ranking,score,score_num
12话/2006年6月29日/長井龍雪/羽海野チカ/島村秀一,蜂蜜与四叶草II,12,ハチミツとクローバー II,36,8.5,2491
24话/2005年4月14日/カサヰケンイチ/羽海野チカ/島村秀一,蜂蜜与四叶草,24,ハチミツとクローバー,35,8.5,3426
10话/2014年4月4日/長濵博史/漆原友紀/馬越嘉彦,虫师 续章,10,蟲師 続章,34,8.5,2362
1话/1961年/万籁鸣、唐澄/西游记,大闹天宫,1,大闹天宫,33,8.5,2372
10话/2015-07-26/JustinRoiland、DanHarmon,瑞克和莫蒂 第二季,10,Rick and Morty Season 2,32,8.6,1136
26话/2004年5月19日/渡辺信一郎/Manglobe/中澤一登,混沌武士,26,サムライチャンプルー,31,8.5,4117
10话/2014年10月18日/長濵博史/漆原友紀/馬越嘉彦,虫师 续章 第2期,10,蟲師 続章 第2クール,30,8.6,1881
14话/2008年1月7日/佐藤順一/天野こずえ/古賀誠,水星领航员 第三季,14,ARIA The ORIGINATION,29,8.6,1303
1话/2001年7月28日(FantasiaInternationalFilmFestival)、2002年9月14日(日本)/今敏/本田雄、今敏,千年女优,1,千年女優,28,8.6,4382
25话/2011年4月6日/佐藤卓哉、浜崎博嗣、小林智樹(第25話)/5pb./Nitro+/坂井久太,命运石之门,25,STEINS;GATE,27,8.6,13718
1话/2001年7月20日/宮崎駿,千与千寻,1,千と千尋の神隠し,26,8.6,9389
10话/2017-04-01/JustinRoiland、DanHarmon,瑞克和莫蒂 第三季,10,Rick and Morty Season 3,25,8.6,1066
54话/1999-03-07/中鶴勝祥,数码兽大冒险,54,デジモンアドベンチャー,72,8.3,4286
13话/2012年10月4日,银魂' 延长战,13,銀魂' 延長戦,71,8.3,2540
25话/2006年10月5日/谷口悟朗/木村貴宏,Code Geass 反叛的鲁路修,25,コードギアス 反逆のルルーシュ,70,8.3,9472
51话/2003年4月3日/佐藤順一、平池芳正（第27话以后）,百变之星,51,カレイドスター,69,8.4,879
101话/1985年3月24日/あだち充,棒球英豪,101,タッチ,68,8.3,1217
1话/1984年3月11日/宮崎駿,风之谷,1,風の谷のナウシカ,67,8.3,3785
51话/2003年10月4日/水島精二/荒川弘/伊藤嘉之,钢之炼金术师,51,鋼の錬金術師,66,8.3,5396
62话/1999年10月16日/古橋一浩/冨樫義博,猎人,62,HUNTER×HUNTER,64,8.3,2580
25话/2015年10月3日/古舘春一（集英社「週刊少年ジャンプ」連載）,排球少年 第二季,25,ハイキュー!! セカンドシーズン,65,8.4,2296
74话/2004年4月6日,怪物,74,MONSTER,63,8.4,1830
26话/2011年4月2日/石原立也/あらゐけいいち/西屋太志,日常,26,日常,62,8.3,9345
24话/2015年1月9日/津田尚克/荒木飛呂彦（集英社ジャンプコミックス刊）/小美野雅彦、町田真一（副人物设定、替身设计）、光田史亮（替身设计）,JOJO的奇妙冒险 星尘斗士 埃及篇,24,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,61,8.4,4130
12话/2017年1月6日/畠山守（小俣真一）/雲田はるこ（講談社「ITAN」連載）/細居美恵子,昭和元禄落语心中 -助六再临篇-,12,昭和元禄落語心中 -助六再び篇-,60,8.4,1171
1话/1988年3月12日/富野由悠季/富野由悠季/北爪宏幸,机动战士高达 逆袭的夏亚,1,機動戦士ガンダム 逆襲のシャア,59,8.4,1319
1话/2008年8月16日/平尾隆之/奈須きのこ/須藤友徳、高橋タクロヲ,剧场版 空之境界 第五章 矛盾螺旋,1,劇場版 空の境界 第五章 矛盾螺旋,58,8.4,5790
1话/2006年11月24日,攻壳机动队 S.A.C. Solid State Society,1,攻殻機動隊 STAND ALONE COMPLEX Solid State Society,57,8.4,1777
1话/2007年9月21日/佐藤順一/天野こずえ/古賀誠,水星领航员 OVA,1,ARIA The OVA ～ARIETTA～,96,8.3,751
2005年4月15日/善聡一郎（#1-#489）、八鍬新之介（#490-#515）/藤子・F・不二雄/渡辺歩→渡辺歩、富永貞義→丸山宏一、富永貞義→富永貞義→吉田誠、富永貞義→丸山宏一,哆啦A梦,*,ドラえもん,95,8.3,1623
23话/2018年10月2日/三浦しをん『風が強く吹いている』（新潮文庫刊）,强风吹拂,23,風が強く吹いている,94,8.3,2146
13话/2014年7月6日,太空丹迪 第二季,13,スペース☆ダンディ シーズン2,92,8.3,1631
16话/2007年7月26日/大森貴弘/成田良悟/岸田隆宏,永生之酒,16,BACCANO! -バッカーノ!-,91,8.3,5948
1话/2008-06-27/AndrewStanton,机器人总动员,1,Wall·E,90,8.3,3091
6话/1988年10月7日/庵野秀明/岡田斗司夫,飞跃巅峰！,6,トップをねらえ!,89,8.3,2332
13话/2011年7月4日/大森貴弘/緑川ゆき/髙田晃,夏目友人帐 参,13,夏目友人帳 参,88,8.2,5491
10话/2006年2月10日/ところともかず（#1-#4）、田中洋之（#5-#7）、松村やすひろ（#8、#10）、鈴木健一（#9-#10）/平野耕太,皇家国教骑士团 OVA,10,HELLSING OVA,87,8.3,2864
1话/2014年1月4日/長濵博史/漆原友紀/馬越嘉彦,虫师 蚀日之翳,1,蟲師 日蝕む翳,93,8.3,1677
15话/2009年7月3日/新房昭之/西尾維新「化物語」（講談社BOX）/渡辺明夫,化物语,15,化物語,85,8.3,10425
12话/2007年7月12日,物怪,12,モノノ怪,86,8.3,2388
50话/1999年4月9日/富野由悠季/矢立肇、富野由悠季,∀高达,50,∀ガンダム,84,8.3,992
1话/2015年5月16日/長濵博史/漆原友紀/馬越嘉彦,虫师 续章 铃之雫,1,蟲師 鈴の雫,83,8.3,1045
