,jiandu1,jiandu2,jiandu3,jiandu4
389, 岸誠二 , 涼川りん（白泉社「ヤングアニマル」連載） , 黒澤桂子 ,
390, 西村純二 , 小山田風狂子（會川昇）／篠吉祥、美原轟 , 西田亜沙子 ,
391,,,,
392, 佐藤雅子 , 古舘春一（集英社「週刊少年ジャンプ」連載） , 岸田隆宏 ,
393,,,,
394,,,,
395, こだま兼嗣 , 北条司 , 神村幸子 ,
396,,,,
397, 池田成（1-44）、青木康直（45-） ,,,
398, 水島努 , 黄瀬和哉 ,,
399,,,,
400, 湯山邦彦 , 一石小百合 ,,
401, 岡村天斎 , BONES・岡村天斎 ,,
402, Frank Miller ,,,
403, 新房昭之 , 中村光 , 杉山延寛 ,
404, 水島努 , 杉本功 ,,
405, 増原光幸 , 小林明美 ,,
406, 畠山守（小俣真一） , 雲田はるこ（講談社「ITAN」連載） , 細居美恵子 ,
407, 福田己津央 , 矢立肇 , 吉松孝博 ,
408, 長崎健司 , 矢立肇、富野由悠季 , 大貫健一 ,
409, 西村純二 , 荒川眞嗣 ,,
410, 浅香守生、荒木哲郎、宮繁之、中村亮介、いしづかあつこ , 太宰治『人間失格』、坂口安吾『桜の森の満開の下』、夏目漱石『こゝろ』、太宰治『走れメロス』、芥川龍之介『蜘蛛の糸』『地獄変』 , 筱雅律、香月邦夫、宮繁之、細居美恵子、兼森義則 ,
411, 草川啓造 , 都築真紀 , 奥田泰弘 ,
412, さんぺい聖 , ビーノ(KADOKAWA「コミックNewtype」) , 安田祥子 ,
413, 古橋一浩 , 藤島康介 ,,
414, 今川泰宏 , 矢立肇、富野由悠季 ,,
415, 山内重保 , 竜の子プロダクション（タツノコプロ） ,,
416, Michaël Dudok de Wit ,,,
417, 新房昭之 , 蒼樹うめ , 伊藤良明 ,
418, Stephen Hillenburg ,,,
419, 中村健治 , 奥田英朗『イン・ザ・プール』、『空中ブランコ』、『町長選挙』 , 橋本敬史 ,
420, 桜井弘明 , 野中英次 , 音地正行 ,
421, 特伟、钱家骏、唐澄 ,,,
422, 押井守、吉永尚之 ,,,
423, 芝山努 , 中嶋敦子 ,,
424, Jérémy Clapin ,,,
425, 高畑勲 , 石井寿一（いしいひさいち） ,,
426, 福田己津央 , 矢立肇 , 吉松孝博 ,
427, 川面真也 , あっと , 大塚舞 ,
428,,,,
429, 西村純二 , La'cryma , 関口可奈味 ,
430,,,,
431,,,,
432, 2010-06-18(美国) , Lee Unkrich ,,
433, 水島努 , 木尾士目 ,,
434, 米林宏昌 ,,,
435, 顾汉昌、强小柏、查侃 , 郑渊洁 ,,
436,,,,
437, 水島努 , 久保保久（講談社「イブニング」連載） , 谷口淳一郎 ,
438,,,,
439, 金澤洪充 , 氏家ト全（講談社 週刊少年マガジン連載） ,,
440, モンキー・パンチ ,,,
441, 小野学 , 小林立 , 佐々木政勝 ,
442, 多田俊介 , CLAMP , 菊地洋子 ,
443,,,,
444,,,,
445, 桜美かつし , 石塚千尋「ふらいんぐうぃっち」（別冊少年マガジン , 講談社） , 安野将人 
446, 長井龍雪 , 鎌池和馬＋冬川基 , 田中雄一、副人物设定：萩原弘光、吉田優子 ,
447, 出合小都美 , 緑川ゆき ,,
448,,,,
449,,,,
450, 三浦しをん ,,,
451,,,,
452, Trey Parker , South Park by Trey Parker & Matt Stone ,,
