,chinese_name,director,episode,movie_name,movie_time,ranking,score,score_num,summary,tv_time,week,month,day,year
3650,新世界,立川让,1,アラタなるセカイ 未来編,,3894.0,6.4,338.0,为纪念作家入间人间创作五周年而启动的此次大型企划，涵盖了小说、漫画、动画等媒体方式。,,,,,
3651,长门有希酱的消失,和田纯一,16,長門有希ちゃんの消失,,3895.0,6.5,1569.0,北高文艺社所属的普通高中女生长门有希，是个偷偷喜欢同社文艺社员阿虚的内向女孩。在好友朝仓凉子的帮助之下，长门有希跟阿虚之间的关系将会有什么样的进展呢？酸酸甜甜的青春校园恋爱喜剧就此展开！,4/3/2015,星期五,4,3,2015
3652,,山本宽,1,Blossom,3/24/2012,3896.0,6.3,125.0,"慈善动画""Blossom""公开于东京国际动漫节，是纪念“3·11”日本大地震，以受灾地为舞台制作而成的短篇原创动画。",,,,,
3653,修业魔女璐璐萌,樱井亲良,12,まじもじるるも,,3897.0,6.5,572.0,故事讲述所属于超自然社团“不可思议发现CLUB”的平凡且单身的高中生柴木耕太偶然发现了一本魔导书，并且误打误撞地使用魔导书的力量召唤出了能够实现愿望的魔女“璐璐萌”，其代价则是付出生命。知道代价后的柴木非常恐慌，但由于璐璐萌违反规则而被判了130年的禁锢之刑，契约被无效化了。虽然柴木因此得救，然而他依旧铁下心想要拯救璐璐萌。其后柴木开始与璐璐萌一同生活，恋爱校园喜剧就此展开。,7/9/2014,星期三,7,9,2014
3654,秋之回忆,岩崎太郎,1,Memories Off #5 とぎれたフィルム THE ANIMATION,,3898.0,6.1,70.0,大ヒットゲーム原作のOVAリリース!!,,,,,
3655,飞天小女警,,52,出ましたっ!パワパフガールズZ,,3900.0,5.9,53.0,,7/1/2006,星期六,7,1,2006
3656,黏黏糊糊,春日森春木,25,にゅるにゅる!!KAKUSENくん,,3901.0,6.4,220.0,人間の肌に存在する「角栓」をモチーフにしたキャラクターが繰り広げる、ショートコメディ作品。,7/8/2013,月曜日,7,8,2013
3657, ,,7,うらおん!,,3902.0,6.4,257.0,《K-ON!》电视动画的蓝光光盘中都收录有“B面映像剧场”——URA-ON!（うらおん!），是二至三分钟的短篇幽默剧场，作画比较随意。随着第二季动画的制作，标题也改成了“URA-ON!!”。,,,,,
3658,我家的女仆太烦人了,太田雅彦,12,うちのメイドがウザすぎる！,,3904.0,6.5,1537.0,,10/5/2018,星期五,10,5,2018
3659,迷你百合,宫岛星矢,4,みにゆり,,3905.0,6.3,151.0,ゆるゆりのミニアニメ「みにゆり」制作決定,9/25/2019,,9,25,2019
3660,彼女,直谷隆,12,3D彼女 リアルガール 第2シリーズ,,3906.0,6.3,146.0,,1/8/2019,星期二,1,8,2019
3661,笨拙之极的上野,月见里智弘,12,上野さんは不器用,,3907.0,6.5,1341.0,这里是某中学的理科室————。,1/6/2019,星期日,1,6,2019
3662,忧郁的物怪庵,川崎逸朗,13,不機嫌なモノノケ庵 續,,3908.0,6.3,143.0,,1/5/2019,星期六,1,5,2019
3663,碧蓝幻想,伊藤佑毅,12,GRANBLUE FANTASY The Animation,,3910.0,6.5,828.0,这里是，空中漂浮着众多岛屿的，空之世界。,4/1/2017,星期六,4,1,2017
3664,岁的保健体育,万球,12,30歳の保健体育,,3911.0,6.5,923.0,原作《30歲的保健體育》是以給成年男性的戀愛交往建議作為中心的系列書籍，而在動畫中以現年30歲、沒有與異性交往經驗的「今川駿」以及「安藤夏」作為男女主角，還有許多獨具特色的角色也將一一登場。(via巴哈姆特),4/6/2011, ,4,6,2011
3665,虫之歌,酒井和男,12,ムシウタ,,3912.0,6.5,672.0,“虫”，是一种异型怪物，在给予这些“附虫者”超能力的同时，作为代价给“附虫者”带来了世人的恐惧和憎恨，乃至要被从社会上抹杀的境地。故事要从高校生药屋大助在转校初日与一个名为杏本诗歌的少女相遇开始。一脸忧郁的弱气LOLI诗歌是从收容“附虫者”的极秘组织“GARDEN”中出逃的逃亡者，大助立刻接收到好人共鸣，决定帮助她。而负责将“附虫者”从世间抹杀的政府机关“特别环境保全事务局”简称“特环”则派出了杀手追杀诗歌。,7/5/2007, ,7,5,2007
3666,笨蛋的悲剧人生,,3,バカ・ミゼラブル,,3914.0,6.2,95.0,五月女ケイ子の脱力系アニメ『バカ・ミゼラブル』がフジテレビ公式YouTubeチャンネル「COOLTV」で無料配信される。,5/21/2013,,5,21,2013
3667,那年那兔那些事儿,二树,5,那年那兔那些事儿 番外篇,,3915.0,6.2,110.0,你们，是用生命、用激情换来我们今天幸福生活的最可爱的人；你们，是永远不被遗忘的英雄！,7/20/2016,星期三,7,20,2016
3668,龙娘七七七埋藏的宝藏,龟井干太,11,龍ヶ嬢七々々の埋蔵金,,3916.0,6.5,1886.0,男主角八真重护因不愿意继承家业，而被父亲宣告断绝亲子关系，并被迫离家搬到一座人工学园岛居住。为了节省开支，预付一年的房租，租到一间一个月仅5000日元的幸福庄202号室。但那间房间内却有一位名为“龙娘七七七”的美女地缚灵，她是建立人工学园岛的天才学生集团“Great7”成员之一，但因为惨遭杀害，除非找出凶手否则魂魄无法离开那间房间。八真重护于是开始与龙娘七七七的同居生活。,4/10/2014,星期四,4,10,2014
3669,钢索危情, ,2,タイトロープ,,3919.0,6.4,253.0,故事的主角直树和龙之介是青梅竹马，作为黑道世家的继承人并一直恋慕着直树的龙之介过着理所当然的每一天。但在高中毕业之际，龙之介突然发出不继承组织的宣言，因此使得身边的人一团乱。理由到底是什么呢……？剧情主打温馨路线，是一部黑道味不重的作品。,,,,,
3670,御宅英文,仁昌寺义人,10,マジでオタクなイングリッシュ!りぼんちゃん the TV,,3920.0,6.3,166.0,英語が苦手な女子高生りぼんちゃんは、使い魔を自称する奇妙な猫トナーと契約して魔法少女になった。,7/5/2013,星期五,7,5,2013
3671,无限地带,八谷贤一,2,MEGAZONE23 III,,3921.0,6.1,71.0,省吾達の帰還から数百年が経った時代。人々はコンピューターシステムに支配された街「エデンシティ」で暮らしていた。それは、かつての人類の過ちを繰り返さない為に取られた手段だった。しかし、その支配を嫌ったレジスタンスによる反攻作戦が開始される。,,,,,
3672,蓝皮鼠和大脸猫,,39,蓝皮鼠和大脸猫,,3922.0,6.4,246.0,蓝皮鼠和大脸猫是魔奇杂技团的明星。经常外出演出，每到一处就会发生一个故事或一个奇遇。,,,,,
3673,视而不见,宫下新平,1,しらんぷり,3/24/2012,3923.0,6.3,212.0,2012年青年动画制作者育成计划作品,3/26/2012,,3,26,2012
3674,拉链超人组,石田佑康,1,FASTENING DAYS 2,,3924.0,5.9,52.0,故事梗概第二集第一集上一集中，洋二和庆伊在千钧一发之际救下了养母安娜。,8/1/2016,,8,1,2016
